hanzi,pinyin,english,page
大体,dàtǐ,in general,25
大体上,dàtǐ shang,generally,25
大同小异,dàtóngxiǎoyì,almost the same,25
大腕儿,dàwànr,celebrity; big shot,25
大选,dàxuǎn,general election,25
大雁,dàyàn,wild goose,25
大意,dàyì,main idea,25
大意,dàyi,careless,25
大有可为,dàyǒukěwéi,well worth doing,25
大宗,dàzōng,adj. large in amount; n. bulk,25
歹徒,dǎitú,gangster,25
逮,dǎi,to catch,25
代号,dàihào,code,25
代理人,dàilǐrén,agent,25
代言人,dàiyánrén,spokesperson,25
带队,dàiduì,to lead a team,25
带路,dàilù,to lead the way,25
带头,dàitóu,take the lead,25
带头人,dàitóurén,leader,25
待,dài,to treat,25
怠工,dàigōng,to slack off in one's work,25
怠慢,dàimàn,to neglect; to give someone the cold shoulder,25
逮捕,dàibǔ,to arrest,25
担,dān,to bear,25
担当,dāndāng,to take responsibility for,26
担负,dānfù,to bear,26
单边,dānbiān,unilateral,26
单薄,dānbó,thin,26
单方面,dānfāngmiàn,unilateral,26
单身,dānshēn,single,26
耽搁,dānge,to delay; to tarry,26
耽误,dānwu,to delay; to hold up,26
胆怯,dǎnqiè,timid,26
胆子,dǎnzi,courage,26
但愿,dànyuàn,If only (something were possible); I wish,26
担,dàn,measure word for goods carried on a shoulder pole,26
担子,dànzi,burden,26
诞辰,dànchén,birthday,26
淡化,dànhuà,to dilute,26
淡季,dànjì,off-season,26
蛋白质,dànbáizhì,protein,26
当即,dāngjí,immediately,26
当今,dāngjīn,today; the present,26
当面,dāngmiàn,in person,26
当日,dāngrì,that day,26
当事人,dāngshìrén,party (to a lawsuit),26
当务之急,dāngwùzhījí,urgent matter,26
当下,dāngxià,instantly,26
当心,dāngxīn,to be careful,26
当着,dāngzhe,in front of,26
当之无愧,dāngzhīwúkuì,welldeserved,26
当众,dāngzhòng,in public,26
当晚,dàngwǎn,that night,26
当真,dàngzhēn,v. to take seriously; adv. really,27
荡漾,dàngyàng,to ripple,27
档次,dàngcì,grade,27
导弹,dǎodàn,missile,27
导航,dǎoháng,to navigate,27
导火索,dǎohuǒsuǒ,fuse,27
导师,dǎoshī,tutor,27
导向,dǎoxiàng,v. to guide; n. guide,27
岛屿,dǎoyǔ,islands,27
捣乱,dǎoluàn,to make trouble,27
倒卖,dǎomài,to resell at a profit,27
倒霉,dǎoméi,unlucky,27
倒塌,dǎotā,(of a building) to collapse,27
倒下,dǎoxia,to fall down,27
到头来,dàotóulái,in the end,27
到位,dàowèi,to be in place,27
倒计时,dàojìshí,to count down,27
倒数,dàoshǔ,to count backwards; to count down,27
盗,dào,to steal,27
盗窃,dàoqiè,to steal,27
悼念,dàoniàn,to mourn,27
道具,dàojù,prop,27
稻草,dàocǎo,straw,27
得不偿失,débùchángshī,The gains do not outweigh the losses,27
得当,dédàng,appropriate,27
得力,délì,capable,27
得失,déshī,gain and loss,27
得手,déshǒu,handy; convenient,27
得体,détǐ,decent,27
得天独厚,détiāndúhòu,to be richly endowed by nature; to enjoy exceptional advantages,28
得益于,déyì yú,benefit from,28
得意扬扬,déyìyángyáng,to be immensely proud,28
得知,dézhī,to learn of something,28
得罪,dézuì,to offend,28
德,dé,virtue,28
灯笼,dēnglong,lantern,28
灯泡,dēngpào,light bulb,28
登机,dēngjī,to board,28
登陆,dēnglù,to land,28
蹬,dēng,to step on,28
凳子,dèngzi,stool,28
瞪,dèng,to stare,28
低调,dīdiào,n. low-key; adj. humble,28
低估,dīgū,to underestimate,28
低谷,dīgǔ,trough; valley,28
低价,dījià,low price,28
低迷,dīmí,blurred; low in spirit; in an economic slump,28
低碳,dītàn,lowcarbon,28
低下,dīxià,under; below,28
堤,dī,embankment,28
堤坝,dībà,dam,28
提防,dīfang,to beware of,28
笛子,dízi,flute,28
抵触,dǐchù,to conflict,28
抵挡,dǐdǎng,to withstand,28
抵消,dǐxiāo,to offset,28
抵押,dǐyā,to mortgage,28
抵御,dǐyù,to resist; to withstand,28
抵制,dǐzhì,to resist; to boycott,29
底层,dǐcéng,bottom layer,29
底线,dǐxiàn,bottom line,29
底蕴,dǐyùn,inside information,29
底子,dǐzi,foundation,29
地步,dìbù,degree; stage,29
地道,dìdào,tunnel; underpass,29
地道,dìdao,authentic; typical,29
地段,dìduàn,location,29
地理,dìlǐ,geography,29
地毯,dìtǎn,carpet,29
地下水,dìxiàshuǐ,groundwater,29
地狱,dìyù,hell,29
地域,dìyù,area,29
地质,dìzhì,geology,29
弟子,dìzǐ,disciple,29
帝国,dìguó,empire,29
帝国主义,dìguó zhǔyì,imperialism,29
递交,dìjiāo,to submit,29
第一手,dìyīshǒu,firsthand,29
第一线,dìyīxiàn,front line,29
颠倒,diāndǎo,to reverse,29
颠覆,diānfù,to subvert,29
巅峰,diānfēng,peak,29
典范,diǎnfàn,model,29
点火,diǎnhuǒ,to ignite,29
点击率,diǎnjīlǜ,click rate,29
点评,diǎnpíng,v. to comment; n. comment,29
点心,diǎnxin,dessert,29
点缀,diǎnzhuì,to embellish,29
点子,diǎnzi,idea,30
电报,diànbào,telegraph,30
电铃,diànlíng,electric bell,30
电网,diànwǎng,power grid,30
电线,diānxiàn,electric wire,30
电信,diànxìn,telecommunications,30
电讯,diànxùn,telecommunications,30
垫,diàn,to pad,30
垫底,diàndǐ,to put something on the bottom,30
垫子,diànzi,mat,30
淀粉,diànfěn,starch,30
惦记,diàn∙jì,to remember with concern,30
奠定,diàndìng,to establish; to settle; to lay (a foundation),30
殿堂,diàntáng,hall (of a palace or temple),30
刁难,diāonàn,to make trouble,30
叼,diāo,to hold in the mouth,30
雕,diāo,to carve,30
雕刻,diāokè,v. to sculpt; n. sculpture,30
雕塑,diāosù,v. to sculpt; n. sculpture,30
吊销,diàoxiāo,to revoke,30
钓鱼,diàoyú,to go fishing,30
调度,diàodù,v. to schedule; n. scheduler,30
掉队,diàoduì,to fall behind,30
掉头,diàotóu,to turn around,30
爹,diē,father,30
迭起,diéqǐ,to occur repeatedly; to arise continuously,30
叠,dié,to stack; to fold,30
丁,dīng,fourth; the fourth Heavenly Stem,30
叮嘱,dīngzhǔ,to exhort repeatedly,30
盯,dīng,to stare,30
钉子,dīngzi,nail,31
顶多,dǐngduō,at most,31
顶级,dǐngjí,top-level,31
顶尖,dǐngjiān,n. apex; adj. top notch,31
订单,dìngdān,(purchase) order,31
订购,dìnggòu,to place an order,31
订婚,dìnghūn,to get engaged,31
订立,dìnglì,to reserve a seat,31
钉,dìng,to nail,31
定金,dìngjīn,deposit,31
定居,dìngjū,to settle down,31
定论,dìnglùn,conclusion,31
定为,dìngwéi,to set to; to set as,31
定向,dìngxiàng,to direct; to orientate,31
定心丸,dìngxīnwán,something that sets one's mind at ease,31
定义,dìngyì,definition,31
定做,dìngzuò,to customize,31
丢掉,diūdiào,to throw away,31
丢脸,diūliǎn,shame; to lose face,31
丢弃,diūqì,to abandon; to discard,31
丢人,diūrén,to lose face; disgraced,31
丢失,diūshī,to lose,31
东奔西走,dōngbēnxīzǒu,to run about busily,31
东道主,dōngdàozhǔ,host,31
东张西望,dōngzhāngxīwàng,to glance this way and that; to look in every direction,31
董事,dǒngshì,director,31
董事会,dǒngshìhuì,Board of Directors,31
董事长,dǒngshìzhǎng,chairman (of a committee or board),31
懂事,dǒngshì,sensible,31
动不动,dòngbudòng,at every turn,32
动荡,dòngdàng,v. to be in turmoil; a.turbulent,32
动感,dònggǎn,dynamic; lively,32
动工,dònggōng,to start construction,32
动静,dòngjing,movement,32
动脉,dòngmài,artery,32
动身,dòngshēn,to leave,32
动弹,dòngtan,to move,32
动听,dòngtīng,nice sounding; interesting to listen to,32
动向,dòngxiàng,trend,32
动用,dòngyòng,to utilize,32
冻结,dòngjié,to freeze,32
栋,dòng,measure word for building,32
栋梁,dòngliáng,pillar,32
兜,dōu,to carry in a pocket or bag,32
兜儿,dōur,pocket,32
兜售,dōushòu,to peddle; to hawk,32
抖,dǒu,to shake; to tremble,32
陡,dǒu,steep,32
斗,dòu,to fight,32
斗志,dòuzhì,fighting spirit,32
豆浆,dòujiāng,soy milk,32
豆子,dòuzi,beans,32
逗,dòu,v. to tease; adj. teasing,32
都会,dūhuì,metropolis,32
督促,dūcù,to urge,32
独,dú,alone; lonely,32
独唱,dúchàng,to sing solo,32
独家,dújiā,exclusive,32
独立自主,dúlìzìzhǔ,to maintain independence and control over one's affairs,32
独身,dúshēn,to be single; to be separated from one's family,33
独一无二,dúyīwú'èr,unique,33
堵塞,dǔsè,to be blocked up; to stop up,33
杜绝,dùjué,to put an end to,33
妒忌,dùjì,to be jealous,33
度(知名度）,dù(zhīmíngdù),degree (of popularity),33
度假,dùjià,to take a vacation,33
渡过,dùguò,to pass through,33
端正,duānzhèng,adj. correct; v. to correct,33
短缺,duǎnquē,to lack,33
短暂,duǎnzàn,short; temporary; transient,33
段落,duànluò,paragraph,33
断定,duàndìng,to determine,33
断断续续,duànduànxùxù,intermittent,33
断裂,duànliè,to fracture,33
堆砌,duīqì,to pile,33
队形,duìxíng,formation,33
对白,duìbái,dialogue,33
对策,duìcè,countermeasure,33
对称,duìchèn,symmetrical,33
对得起,duìdeqǐ,to be worthy of,33
对联,duìlián,couplet,33
对弈,duìyì,(literary) to play chess,33
对照,duìzhào,to compare,33
对峙,duìzhì,to confront each other,33
对准,duìzhǔn,n. (mechanical engineering) alignment; v. to aim at; to be directed at,33
兑换,duìhuàn,to exchange,33
兑现,duìxiàn,to cash,33
敦促,dūncù,to urge,33
敦厚,dūnhòu,honest and sincere,34
炖,dùn,to stew,34
顿时,dūnshí,immediately,34
多边,duōbiān,multilateral,34
多功能,duōgōngnéng,multifunctional,34
多亏,duōkuī,thanks to; fortunately,34
多劳多得,duōláoduōdé,"Work hard, earn much.",34
多年来,duō nián lái,for many years,34
多心,duōxīn,suspicious; paranoid,34
多余,duōyú,v. to exceed; adj. excessive,34
多元,duōyuán,pluralistic,34
哆嗦,duōsuo,to tremble uncontrollably,34
夺冠,duóguàn,to win the championship,34
夺魁,duókuí,to win first prize,34
躲避,duǒbì,to avoid,34
躲藏,duǒcáng,to go into hiding,34
舵手,duòshǒu,helmsman,34
堕落,duòluò,to degenerate,34
讹诈,ézhà,to blackmail,34
俄语,éyǔ,Russian language,34
鹅,é,goose,34
额外,éwài,additional,34
厄运,èyùn,doom,34
恶,è,evil,34
恶化,èhuà,to deteriorate,34
恶劣,èliè,odious; vile,34
恶性,èxìng,malignant,34
恶意,èyì,malicious intention,34
遏制,èzhì,to contain; to constrain,34
鳄鱼,èyú,crocodile,34
恩赐,ēncì,"to bestow (a gift, favors, etc.)",35
恩惠,ēnhuì,grace; favour; kindness,35
恩情,ēnqíng,loving kindness,35
恩怨,ēnyuàn,resentment,35
而已,éryǐ,"auxiliary word meaning ""just""",35
耳光,ěrguāng,a slap in the face,35
耳目一新,ěrmùyìxīn,refreshing,35
耳熟能详,ěrshúnéngxiáng,familiar; what is frequently heard can be repeated in detail,35
耳闻目睹,ěrwénmùdǔ,what one sees and hears,35
二手车,èrshǒuchē,second-hand car,35
二氧化碳,èryǎnghuàtàn,carbon dioxide,35
发布会,fābùhuì,press conference,35
发财,fācái,to make a fortune,35
发愁,fāchóu,to worry,35
发电机,fādiànjī,generator; dynamo,35
发抖,fādǒu,to tremble,35
发愤图强,fāfèntúqiáng,to set one's mind to work hard,35
发光,fāguāng,to give off light,35
发火,fāhuǒ,to ignite; to get angry,35
发酵,fājiào,fermentation; to ferment,35
发掘,fājué,to excavate,35
发愣,fālèng,to be in a daze,35
发脾气,fā píqi,to lose one's temper,35
发起人,fāqǐrén,sponsor,35
发热,fārè,feverish,35
发誓,fāshì,to swear; to take an oath,35
发泄,fāxiè,to give vent to; to release,35
发扬,fāyáng,to carry forward,35
发扬光大,fāyángguāngdà,to carry forward; to develop,35
发育,fāyù,to develop,36
发源地,fāyuándì,place of origin,36
发作,fāzuò,to have a fit of anger; to flare up,36
阀门,fámén,valve,36
发型,fàxíng,hairstyle,36
帆,fān,sail,36
帆船,fānchuán,sailboat,36
翻番,fānfān,to double,36
翻来覆去,fānláifùqù,to toss and turn,36
翻天覆地,fāntiānfùdì,groundbreaking,36
凡,fán,all,36
烦闷,fánmèn,depressed; moody,36
烦恼,fánnǎo,troublesome,36
烦躁,fánzào,irritable,36
繁华,fánhuá,bustling,36
繁忙,fánmáng,busy,36
繁体字,fántǐzì,traditional Chinese character,36
繁重,fánzhòng,heavy; strenuous,36
反驳,fǎnbó,to refute,36
反差,fǎnchā,contrast,36
反常,fǎncháng,abnormal,36
反倒,fǎndào,instead,36
反感,fǎngǎn,adj. disgusting; n. dislike,36
反过来,fǎn∙guò∙lái,in reverse order,36
反击,fǎnjī,to counterattack,36
反馈,fǎnkuì,to give feedback,36
反面,fǎnmiàn,n. opposite side; adj. opposite,36
反思,fǎnsī,to reflect on something; to rethink,36
反弹,fǎntán,to rebound,36
反省,fǎnxǐng,to examine oneself; to engage in introspection,36
返还,fǎnhuán,to return; to give back,37
犯愁,fànchóu,to worry,37
饭碗,fànwǎn,rice bowl; livelihood,37
泛滥,fànlàn,to run rampant,37
范畴,fànchóu,category,37
贩卖,fànmài,to traffic; to peddle,37
方方面面,fāngfāngmiànmiàn,all aspects,37
方向盘,fāngxiàngpán,steering wheel,37
方言,fāngyán,dialect,37
防盗,fángdào,to prevent theft,37
防盗门,fángdàomén,anti-theft door,37
防护,fánghù,to protect,37
防火墙,fánghuǒqiáng,firewall,37
防卫,fángwèi,to defend,37
防汛,fángxùn,to prevent floods,37
防疫,fángyì,epidemic prevention,37
防御,fángyù,to defend,37
妨碍,fáng'ài,to obstruct,37
妨害,fánghài,to impair; to jeopardize,37
房地产,fángdìchǎn,real estate,37
仿,fǎng,to imitate,37
仿制,fǎngzhì,to imitate; to be modelled on,37
访谈,fǎngtán,to interview,37
纺织,fǎngzhī,to weave,37
放过,fàngguò,to let off; to let someone get away with,37
放水,fàngshuǐ,to turn on the water; to let water out,37
放肆,fàngsì,unbridled; wanton,37
放映,fàngyìng,to show (a film),37
放置,fàngzhì,to put aside,37
放纵,fàngzòng,to indulge,37
飞速,fēisù,at full speed,38
飞往,fēiwǎng,to fly towards,38
飞翔,fēixiáng,to fly,38
飞跃,fēiyuè,to leap,38
非(非金属),fēi(fēijīnshǔ),non (non-metal),38
非得,fēiděi,insistently; must,38
非法,fēifǎ,illegal,38
非凡,fēifán,extraordinary,38
绯闻,fēiwén,scandal; gossip,38
肥料,féiliào,fertilizer,38
肥胖,féipàng,obese,38
肥沃,féiwò,fertile,38
肥皂,féizào,soap,38
诽谤,fěibàng,to defame; to slander,38
废,fèi,adj. abandoned; v. to abandon,38
废除,fèichú,to abolish,38
废话,fèihuà,nonsense,38
废品,fèipǐn,waster product; scraps,38
废寝忘食,fèiqǐnwàngshí,so dedicated that one forgets to sleep and to eat,38
废物,fèiwù,waste,38
废墟,fèixū,ruins,38
沸沸扬扬,fèifèiyángyáng,bustling,38
沸腾,fèiténg,to boil with excitement,38
费劲,fèijìn,laborious,38
分辨,fēnbiàn,to distinguish,38
分寸,fēncun,section,38
分担,fēndān,to share responsibility for,38
分割,fēngē,to segment,38
分红,fēnhóng,to receive dividends,38
分化,fēnhuà,to differentiate; to become divided,38
分泌,fēnmì,to secrete,39
分明,fēnmíng,adj. distinct; adv. distinctly,39
分歧,fēnqí,n. disagreement; adj. disagreeing; diverging,39
分赃,fēnzāng,to divide the spoils; to share ill-gotten gains,39
分支,fēnzhī,branch,39
芬芳,fēnfāng,adj. fragrant; n. fragrance,39
吩咐,fēn∙fù,to order; to command,39
氛围,fēnwéi,atmosphere,39
坟,fén,grave,39
坟墓,fénmù,grave,39
焚烧,fénshāo,to incinerate,39
粉,fěn,pink,39
粉丝,fěnsī,fan,39
粉碎,fěnsuì,adj. broken in pieces; v. to shatter,39
分量,fèn∙liàng,a tiny bit; a small amount,39
分外,fènwài,very; particularly,39
份额,fèn'é,share,39
奋力,fènlì,sparing no effort,39
奋勇,fènyǒng,to summon all one's courage,39
粪,fèn,manure,39
粪便,fènbiàn,stool,39
丰富多彩,fēngfùduōcǎi,colorful,39
丰厚,fēnghòu,rich and generous,39
丰满,fēngmǎn,full,39
丰盛,fēngshèng,rich; sumptuous,39
丰硕,fēngshuò,rich; plentiful,39
风波,fēngbō,storm; wind and waves,39
风采,fēngcǎi,elegant demeanour,39
风餐露宿,fēngcānlùsù,sleep and eat in the open; to endure the hardships of an arduous journey,39
风范,fēngfàn,style; demeanour,40
风风雨雨,fēngfēngyǔyǔ,ups and downs; trials and tribulations,40
风和日丽,fēnghérìlì,bright sun and a gentle breeze,40
风浪,fēnglàng,stormy waves,40
风力,fēnglì,wind power,40
风流,fēngliú,romantic,40
风貌,fēngmào,style and features,40
风气,fēngqì,atmosphere; general mood,40
风情,fēngqíng,mien; bearing,40
风趣,fēngqù,humor; wit,40
风沙,fēngshā,sand blown by the wind,40
风尚,fēngshàng,fashion,40
风水,fēng∙shuǐ,Fengshui,40
风味,fēngwèi,flavor,40
风雨,fēngyǔ,wind and rain; trials and hardships,40
风云,fēngyún,storm; an unstable situation,40
风筝,fēngzheng,kite,40
封顶,fēngdǐng,to cap; to put a ceiling on,40
封建,fēngjiàn,n. feudalism; adj. feudal,40
封面,fēngmiàn,front cover; title page,40
封锁,fēngsuǒ,to blockade,40
疯子,fēngzi,madman,40
峰回路转,fēnghuílùzhuǎn,a positive turn of events,40
蜂蜜,fēngmì,honey,40
逢,féng,to meet; to come upon,40
缝,féng,to sew,40
